timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-06-30T00:00:00.000Z";"2023-06-30T23:59:59.999Z";"2023-06-30T17:07:00.000Z";"2023-06-30T00:02:00.000Z";253.4526818512;326.1219029365;253.1387061348;305.0069543167;3266168959.72;5928233354.3;"2023-06-30T23:59:59.999Z"
"2023-06-29T00:00:00.000Z";"2023-06-29T23:59:59.999Z";"2023-06-29T23:58:00.000Z";"2023-06-29T00:13:00.000Z";225.3638608407;253.5072381233;224.6776049107;253.4472256358;1081990100.95;4925711981.24;"2023-06-29T23:59:59.999Z"
"2023-06-28T00:00:00.000Z";"2023-06-28T23:59:59.999Z";"2023-06-28T03:47:00.000Z";"2023-06-28T08:17:00.000Z";230.1252325444;235.0438502197;222.49575168;225.3849884537;1022829187.71;4380096649.21;"2023-06-28T23:59:59.999Z"
"2023-06-27T00:00:00.000Z";"2023-06-27T23:59:59.999Z";"2023-06-27T11:57:00.000Z";"2023-06-27T02:19:00.000Z";223.4964010981;236.6352373272;217.8491766896;230.1822441008;1194486314.46;4473130110.98;"2023-06-27T23:59:59.999Z"
"2023-06-26T00:00:00.000Z";"2023-06-26T23:59:59.999Z";"2023-06-26T21:29:00.000Z";"2023-06-26T01:23:00.000Z";195.3145087567;228.2534180676;189.3214339369;223.4814504066;1431075211.22;4342705511.9;"2023-06-26T23:59:59.999Z"
"2023-06-25T00:00:00.000Z";"2023-06-25T23:59:59.999Z";"2023-06-25T00:10:00.000Z";"2023-06-25T18:41:00.000Z";213.6286651745;216.9399594714;187.7025215486;195.3999914683;1050435536.59;3796772047.98;"2023-06-25T23:59:59.999Z"
"2023-06-24T00:00:00.000Z";"2023-06-24T23:59:59.999Z";"2023-06-24T23:28:00.000Z";"2023-06-24T00:07:00.000Z";181.7718057303;215.225060424;180.1853391222;213.7257501667;1519570120.33;4152656595.31;"2023-06-24T23:59:59.999Z"
"2023-06-23T00:00:00.000Z";"2023-06-23T23:59:59.999Z";"2023-06-23T18:02:00.000Z";"2023-06-23T00:01:00.000Z";133.9601109123;190.9183450126;133.7311322105;181.7744557739;1124083039.5;3531635688.45;"2023-06-23T23:59:59.999Z"
"2023-06-22T00:00:00.000Z";"2023-06-22T23:59:59.999Z";"2023-06-22T00:35:00.000Z";"2023-06-22T12:00:00.000Z";135.9871791923;146.6994372257;130.2785068674;133.9636241672;382972945.14;2602538956.7;"2023-06-22T23:59:59.999Z"
"2023-06-21T00:00:00.000Z";"2023-06-21T23:59:59.999Z";"2023-06-21T18:28:00.000Z";"2023-06-21T00:08:00.000Z";109.8923614641;138.7807555259;109.8808193747;136.0056210513;555415604.03;2642091096.45;"2023-06-21T23:59:59.999Z"
"2023-06-20T00:00:00.000Z";"2023-06-20T23:59:59.999Z";"2023-06-20T18:23:00.000Z";"2023-06-20T14:45:00.000Z";106.710797071;110.298567641;105.3833372446;109.8905491949;77606253.43;2134631473.09;"2023-06-20T23:59:59.999Z"
"2023-06-19T00:00:00.000Z";"2023-06-19T23:59:59.999Z";"2023-06-19T04:22:00.000Z";"2023-06-19T16:38:00.000Z";107.0440898461;107.1914578535;105.0444677199;106.7096961525;63266436;2072752480.82;"2023-06-19T23:59:59.999Z"
"2023-06-18T00:00:00.000Z";"2023-06-18T23:59:59.999Z";"2023-06-18T07:25:00.000Z";"2023-06-18T00:46:00.000Z";106.6859238785;108.5419210955;106.036418766;107.0355797382;68252711.71;2078992872.58;"2023-06-18T23:59:59.999Z"
"2023-06-17T00:00:00.000Z";"2023-06-17T23:59:59.999Z";"2023-06-17T05:47:00.000Z";"2023-06-17T16:09:00.000Z";108.0657240468;108.2383579289;106.2755222923;106.690983497;64072141.26;2072199625.61;"2023-06-17T23:59:59.999Z"
"2023-06-16T00:00:00.000Z";"2023-06-16T23:59:59.999Z";"2023-06-16T21:17:00.000Z";"2023-06-16T14:49:00.000Z";104.7191818789;108.7141117966;103.0882764775;108.0619764895;69319354.09;2098727702.56;"2023-06-16T23:59:59.999Z"
"2023-06-15T00:00:00.000Z";"2023-06-15T23:59:59.999Z";"2023-06-15T21:34:00.000Z";"2023-06-15T00:04:00.000Z";101.7954031492;104.9529041899;101.7764719527;104.7180086705;77778723.66;2033695722.02;"2023-06-15T23:59:59.999Z"
"2023-06-14T00:00:00.000Z";"2023-06-14T23:59:59.999Z";"2023-06-14T04:10:00.000Z";"2023-06-14T21:01:00.000Z";105.2732090026;106.1553811348;100.9909612696;101.7930082701;70788287.2;1976790318.91;"2023-06-14T23:59:59.999Z"
"2023-06-13T00:00:00.000Z";"2023-06-13T23:59:59.999Z";"2023-06-13T12:37:00.000Z";"2023-06-13T01:10:00.000Z";102.7314797536;106.3238446968;102.3218397392;105.2733672213;77407090.38;2044282463.4;"2023-06-13T23:59:59.999Z"
"2023-06-12T00:00:00.000Z";"2023-06-12T23:59:59.999Z";"2023-06-12T01:01:00.000Z";"2023-06-12T17:25:00.000Z";102.8225317477;103.9662963383;101.3389152486;102.7283868144;65344005.5;1994765690.01;"2023-06-12T23:59:59.999Z"
"2023-06-11T00:00:00.000Z";"2023-06-11T23:59:59.999Z";"2023-06-11T00:01:00.000Z";"2023-06-11T09:06:00.000Z";103.618194038;103.6283535174;101.9597835989;102.8283126974;71123670.46;1996608992.85;"2023-06-11T23:59:59.999Z"
"2023-06-10T00:00:00.000Z";"2023-06-10T23:59:59.999Z";"2023-06-10T00:22:00.000Z";"2023-06-10T04:31:00.000Z";110.7798245652;110.8996412742;95.7754762856;103.6175356449;161603091.77;2011845843.4;"2023-06-10T23:59:59.999Z"
"2023-06-09T00:00:00.000Z";"2023-06-09T23:59:59.999Z";"2023-06-09T13:25:00.000Z";"2023-06-09T20:11:00.000Z";111.7790129556;111.9180337677;109.8596550181;110.7773409342;64126456.86;2150769768.58;"2023-06-09T23:59:59.999Z"
"2023-06-08T00:00:00.000Z";"2023-06-08T23:59:59.999Z";"2023-06-08T15:55:00.000Z";"2023-06-08T06:13:00.000Z";111.1795206077;112.3789644587;110.5741112948;111.7775088643;65358198.98;2170085583.4;"2023-06-08T23:59:59.999Z"
"2023-06-07T00:00:00.000Z";"2023-06-07T23:59:59.999Z";"2023-06-07T01:07:00.000Z";"2023-06-07T22:01:00.000Z";114.7878674371;116.5185565978;110.3206280316;111.1852843639;94236952.05;2158476060.58;"2023-06-07T23:59:59.999Z"
"2023-06-06T00:00:00.000Z";"2023-06-06T23:59:59.999Z";"2023-06-06T23:59:00.000Z";"2023-06-06T13:13:00.000Z";108.7966782882;114.7855432124;107.8345823582;114.7855432124;112721018.93;2228291575.45;"2023-06-06T23:59:59.999Z"
"2023-06-05T00:00:00.000Z";"2023-06-05T23:59:59.999Z";"2023-06-05T00:00:00.000Z";"2023-06-05T21:40:00.000Z";115.730921287;115.730921287;107.7253381284;108.7964639256;99469541.21;2111927718.68;"2023-06-05T23:59:59.999Z"
"2023-06-04T00:00:00.000Z";"2023-06-04T23:59:59.999Z";"2023-06-04T21:11:00.000Z";"2023-06-04T01:09:00.000Z";114.9229476181;116.8987276093;114.3142156189;115.7287732226;68360725.24;2246393134.41;"2023-06-04T23:59:59.999Z"
"2023-06-03T00:00:00.000Z";"2023-06-03T23:59:59.999Z";"2023-06-03T16:38:00.000Z";"2023-06-03T01:40:00.000Z";114.8337591537;115.2610901824;114.40544233;114.9238429171;53934924.97;2230660298.64;"2023-06-03T23:59:59.999Z"
"2023-06-02T00:00:00.000Z";"2023-06-02T23:59:59.999Z";"2023-06-02T02:49:00.000Z";"2023-06-02T00:42:00.000Z";113.3626437053;115.1862743901;113.0507725005;114.8280413213;72689135.04;2228687406.56;"2023-06-02T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-01T23:59:59.999Z";"2023-06-01T16:58:00.000Z";"2023-06-01T03:09:00.000Z";113.2641726129;113.5351637966;111.8989694543;113.3660837106;64956487.42;2200203284.36;"2023-06-01T23:59:59.999Z"
"2023-05-31T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-31T01:56:00.000Z";"2023-05-31T16:10:00.000Z";114.1287920043;114.2788970332;112.2497144969;113.2657217399;71106387.18;2198151401.36;"2023-05-31T23:59:59.999Z"
"2023-05-30T00:00:00.000Z";"2023-05-30T23:59:59.999Z";"2023-05-30T11:51:00.000Z";"2023-05-30T23:58:00.000Z";114.9867296522;115.6650760236;114.1339549577;114.1355977375;69575018.02;2214922543.17;"2023-05-30T23:59:59.999Z"
"2023-05-29T00:00:00.000Z";"2023-05-29T23:59:59.999Z";"2023-05-29T13:26:00.000Z";"2023-05-29T22:31:00.000Z";116.5346761542;117.1219210951;114.8222885015;114.980914525;82696686.03;2231228361.18;"2023-05-29T23:59:59.999Z"
"2023-05-28T00:00:00.000Z";"2023-05-28T23:59:59.999Z";"2023-05-28T23:32:00.000Z";"2023-05-28T00:20:00.000Z";113.9569152956;116.6823876407;113.8438649228;116.522632591;73381271.57;2261046673.99;"2023-05-28T23:59:59.999Z"
